P01_01_1, P01, P01_01, 00:00:02.629, 00:00:04.37, 00:00:06.17, 262, 370, turn on light, turn-on, 6, light, 114, ['light'], [114]
P01_01_100, P01, P01_01, 00:07:57.919, 00:07:59.75, 00:08:00.88, 28785, 28852, take cup, take, 0, cup, 13, ['cup'], [13]
P01_01_102, P01, P01_01, 00:08:01.229, 00:08:02.13, 00:08:03.00, 28927, 28980, put cup into cupboard, put-into, 5, cup, 13, ['cup', 'cupboard'], [13, 3]
P01_01_109, P01, P01_01, 00:08:21.050, 00:08:22.35, 00:08:23.31, 30141, 30198, take plate, take, 0, plate, 2, ['plate'], [2]
P01_01_11, P01, P01_01, 00:00:27.960, 00:00:29.22, 00:00:31.32, 1753, 1879, close fridge, close, 4, fridge, 12, ['fridge'], [12]
P01_01_110, P01, P01_01, 00:08:25.669, 00:08:24.66, 00:08:27.92, 30279, 30475, put plate down, put-down, 1, plate, 2, ['plate'], [2]
P01_01_115, P01, P01_01, 00:08:36.460, 00:08:37.88, 00:08:39.13, 31072, 31147, take fork, take, 0, fork, 14, ['fork'], [14]
P01_01_116, P01, P01_01, 00:08:37.650, 00:08:39.34, 00:08:40.25, 31160, 31215, put down fork, put-down, 1, fork, 14, ['fork'], [14]
P01_01_117, P01, P01_01, 00:08:39.140, 00:08:41.19, 00:08:42.08, 31271, 31324, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_121, P01, P01_01, 00:09:04.130, 00:09:06.39, 00:09:07.42, 32783, 32845, open fridge, open, 3, fridge, 12, ['fridge'], [12]
P01_01_123, P01, P01_01, 00:09:07.270, 00:09:09.28, 00:09:10.03, 32956, 33001, close fridge, close, 4, fridge, 12, ['fridge'], [12]
P01_01_124, P01, P01_01, 00:09:11.520, 00:09:13.41, 00:09:14.49, 33204, 33269, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_126, P01, P01_01, 00:09:19.440, 00:09:21.12, 00:09:22.32, 33667, 33739, take grater, take, 0, grater, 96, ['grater'], [96]
P01_01_127, P01, P01_01, 00:09:30.260, 00:09:21.12, 00:09:22.52, 33667, 33751, take grater, take, 0, grater, 96, ['grater'], [96]
P01_01_130, P01, P01_01, 00:09:24.250, 00:09:29.18, 00:09:31.02, 34150, 34261, drop grater, drop, 59, grater, 96, ['grater'], [96]
P01_01_135, P01, P01_01, 00:10:37.680, 00:10:39.51, 00:10:40.27, 38370, 38416, put down grater, put-down, 1, grater, 96, ['grater'], [96]
P01_01_137, P01, P01_01, 00:10:42.690, 00:10:44.49, 00:10:45.33, 38669, 38719, take grater, take, 0, grater, 96, ['grater'], [96]
P01_01_138, P01, P01_01, 00:10:48.120, 00:10:49.68, 00:10:50.77, 38980, 39046, put down grater, put-down, 1, grater, 96, ['grater'], [96]
P01_01_14, P01, P01_01, 00:00:44.140, 00:00:43.20, 00:00:46.64, 2592, 2798, take cutting board, take, 0, board:cutting, 18, ['board:cutting'], [18]
P01_01_140, P01, P01_01, 00:10:52.590, 00:10:54.75, 00:10:55.75, 39285, 39345, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_143, P01, P01_01, 00:11:04.990, 00:11:03.55, 00:11:05.30, 39813, 39918, take saucepan, take, 0, saucepan, 5, ['saucepan'], [5]
P01_01_144, P01, P01_01, 00:11:10.540, 00:11:07.31, 00:11:14.16, 40038, 40449, put down saucepan, put-down, 1, saucepan, 5, ['saucepan'], [5]
P01_01_146, P01, P01_01, 00:11:18.320, 00:11:19.51, 00:11:22.29, 40770, 40937, take kettle, take, 0, kettle, 44, ['kettle'], [44]
P01_01_149, P01, P01_01, 00:11:38.100, 00:11:39.07, 00:11:41.91, 41944, 42114, put down kettle, put-down, 1, kettle, 44, ['kettle'], [44]
P01_01_15, P01, P01_01, 00:00:45.649, 00:00:46.45, 00:00:47.81, 2787, 2868, put down cutting board, put-down, 1, board:cutting, 18, ['board:cutting'], [18]
P01_01_154, P01, P01_01, 00:11:56.240, 00:11:57.92, 00:11:58.80, 43075, 43128, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_155, P01, P01_01, 00:11:57.770, 00:11:59.03, 00:12:00.04, 43141, 43202, take cutting board with onion, take, 0, board:cutting, 18, ['board:cutting', 'onion'], [18, 16]
P01_01_157, P01, P01_01, 00:12:01.540, 00:12:02.45, 00:12:03.55, 43347, 43413, put down cutting board, put-down, 1, board:cutting, 18, ['board:cutting'], [18]
P01_01_164, P01, P01_01, 00:12:34.510, 00:12:34.95, 00:12:36.70, 45297, 45402, take spoon, take, 0, spoon, 1, ['spoon'], [1]
P01_01_169, P01, P01_01, 00:12:44.460, 00:12:46.10, 00:12:46.78, 45966, 46006, put down spoon, put-down, 1, spoon, 1, ['spoon'], [1]
P01_01_171, P01, P01_01, 00:12:48.110, 00:12:49.54, 00:12:50.27, 46172, 46216, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_177, P01, P01_01, 00:13:38.450, 00:13:39.54, 00:13:40.87, 49172, 49252, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_18, P01, P01_01, 00:00:54.670, 00:00:53.50, 00:00:56.00, 3210, 3360, take knife, take, 0, knife, 4, ['knife'], [4]
P01_01_180, P01, P01_01, 00:13:44.300, 00:13:44.28, 00:13:45.77, 49456, 49546, put down something, put-down, 1, knife, 4, ['knife'], [4]
P01_01_184, P01, P01_01, 00:13:58.950, 00:14:00.71, 00:14:01.64, 50442, 50498, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_187, P01, P01_01, 00:14:22.410, 00:14:24.26, 00:14:25.31, 51855, 51918, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_189, P01, P01_01, 00:14:28.250, 00:14:29.59, 00:14:31.03, 52175, 52261, take knife, take, 0, knife, 4, ['knife'], [4]
P01_01_19, P01, P01_01, 00:00:51.700, 00:00:53.55, 00:00:54.36, 3213, 3261, take knife, take, 0, knife, 4, ['knife'], [4]
P01_01_195, P01, P01_01, 00:15:02.690, 00:15:04.17, 00:15:05.18, 54250, 54310, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_20, P01, P01_01, 00:00:56.670, 00:00:54.73, 00:00:55.74, 3283, 3344, put down knife, put-down, 1, knife, 4, ['knife'], [4]
P01_01_200, P01, P01_01, 00:15:19.570, 00:15:21.64, 00:15:22.39, 55298, 55343, take spatula, take, 0, spatula, 20, ['spatula'], [20]
